country,year,company,marketperspective,moralperspective,innovationperspective
us,2002,ciscosystems,0,0,0
us,2002,appliedmaterials,0,0,0
us,2002,autonation,0,0,0
us,2002,honeywellinternational,0,0,0
us,2002,lowe's,0,0,0
us,2002,intel,0,0,0
us,2002,berkshirehathaway,0,0,0
us,2002,costco,0,0,0
us,2002,allstate,0,0,0
us,2002,cvshealth,0,0,0
us,2002,capitalonefinancial,0,0,0
us,2002,raytheon,0,1,0
us,2002,walmart,0,0,0
us,2002,proxy&gamble,0,0,0
us,2002,whirlpool,1,0,0
us,2002,prudentialfinancial,0,1,0
us,2002,hp,0,0,0
us,2002,jabil,0,0,0
us,2002,waltdisney,0,0,0
us,2002,humana,0,0,0
us,2002,usbancorp,1,0,0
us,2002,emerson electric,0,0,0
us,2002,pnc,1,0,0
us,2002,bankofamericacorp.,2,0,2
us,2002,mckesson,0,0,0
us,2002,bestbuy,0,0,0
us,2002,wellsfargo,0,1,0
us,2002,genuineparts,0,0,0
us,2002,fedex,0,0,0
us,2002,metlifeinc.,0,0,1
us,2000,lowe's,0,0,0
us,2000,jabil,0,0,0
us,2000,cvshealth,0,0,0
us,2000,allstate,0,0,0
us,2000,costco,0,0,0
us,2000,pnc,0,0,0
us,2000,goldmansachsgroup,1,1,0
us,2000,capitalonefinancial,0,0,0
us,2000,wellsfargo,0,0,0
us,2000,homedepot,0,0,0
us,2000,chartercommunications,0,0,0
us,2000,southwestairlines,0,0,0
us,2000,boeing,0,0,1
us,2000,bankofamericacorp.,0,0,0
us,2000,marriottinternational,0,1,0
us,2000,walmart,0,0,0
us,2000,carmax,0,0,0
us,2000,waltdisney,0,0,0
us,2000,westerndigital,0,0,0
us,2000,sysco,0,0,0
us,2000,bestbuy,0,0,0
us,2000,amazon.cominc.,0,0,0
us,2000,intel,0,0,0
us,2000,generalelectric,0,0,0
us,2000,fedex,0,0,0
us,2000,lockheedmartin,0,0,0
us,2000,unitedtechnologies,0,0,0
us,2000,emerson electric,0,0,0
us,2000,fluor,0,0,1
us,2000,halliburton,0,0,0
us,2000,targetcorp.,0,0,0
us,2000,eogresources,0,0,0
us,2000,starbucks,0,0,0
us,2000,mckesson,0,0,0
us,2000,honeywellinternational,0,0,0
us,2000,metlifeinc.,0,0,0
us,2000,internationalpaper,0,0,0
us,2000,chevron,0,0,0
us,2000,humana,0,0,0
us,2000,autonation,0,0,0
us,2000,danaher,0,0,0
us,2000,hp,0,0,0
us,2000,ibm,0,0,1
us,2000,proxy&gamble,0,0,0
us,2000,berkshirehathaway,0,0,0
us,2018,jpmorganchase,0,2,1
us,2018,elililly,0,2,0
us,2018,nucor,0,0,0
us,2018,capitalonefinancial,0,1,0
us,2018,lear,0,0,0
us,2018,humana,0,0,0
us,2018,emerson electric,0,1,1
us,2018,boeing,0,0,0
us,2018,fluor,1,0,0
us,2018,hp,1,2,0
us,2018,eogresources,0,0,0
us,2018,ibm,0,1,0
us,2018,americanexpress,0,0,0
us,2018,altriagroup,0,0,0
us,2018,amazon.cominc.,0,0,0
us,2018,autonation,0,0,0
us,2018,proxy&gamble,1,0,0
us,2018,targetcorp.,0,0,0
us,2018,fedex,0,0,0
us,2018,bankofamericacorp.,1,1,0
us,2018,dollartree,0,0,0
us,2018,wellsfargo,1,4,5
us,2018,southerncompany,0,0,0
us,2018,generalelectric,0,0,0
us,2018,bristolmyerssquibb,0,1,0
us,2018,cvshealth,0,1,0
us,2018,westerndigital,0,1,0
us,2018,paccar,0,0,0
us,2018,walmart,0,0,0
us,2018,verizon,0,1,0
us,2018,lockheedmartin,0,0,0
us,2018,bestbuy,0,0,0
us,2018,jabil,0,0,0
us,2018,prudentialfinancial,3,2,0
us,2018,johnson&johnson,0,0,0
us,2018,chartercommunications,0,1,0
us,2018,southwestairlines,0,0,0
us,2018,aflac,0,0,0
us,2018,halliburton,0,3,1
us,2018,whirlpool,0,0,0
us,2018,sysco,0,0,0
us,2018,goldmansachsgroup,0,0,0
us,2018,internationalpaper,0,0,0
us,2018,starbucks,0,0,0
us,2018,ciscosystems,0,0,0
us,2018,nexteraenergy,0,0,0
us,2018,intel,3,0,1
us,2018,fordmotor,0,0,0
us,2018,raytheon,0,0,0
us,2018,unitedtechnologies,0,0,0
us,2018,mckesson,0,0,0
us,2018,ups,0,0,0
us,2018,allstate,1,2,3
us,2018,libertymutualinsurance,0,0,0
us,2018,freeport-mcmoran,0,0,0
us,2018,honeywellinternational,0,2,1
us,2018,molinahealthcare,0,0,0
us,2018,exxonmobil,0,1,2
us,2018,appliedmaterials,0,0,0
us,2018,usbancorp,0,1,0
us,2018,costco,0,1,0
us,2018,danaher,0,0,0
us,2018,waltdisney,0,0,0
us,2018,chevron,0,1,2
us,2018,berkshirehathaway,0,0,0
us,2018,genuineparts,0,0,0
us,2018,carmax,0,0,0
us,2018,marriottinternational,0,0,0
us,2018,lowe's,0,0,0
us,2018,homedepot,0,0,0
us,2018,pnc,0,0,0
us,2018,coca-cola,2,16,1
us,2001,southwestairlines,0,0,0
us,2001,proxy&gamble,0,0,0
us,2001,danaher,0,0,0
us,2001,targetcorp.,0,0,0
us,2001,halliburton,0,0,0
us,2001,americanexpress,0,0,0
us,2001,metlifeinc.,0,4,0
us,2001,humana,0,0,0
us,2001,honeywellinternational,0,0,0
us,2001,mckesson,0,0,0
us,2001,emerson electric,0,0,0
us,2001,libertymutualinsurance,0,0,0
us,2001,lowe's,0,0,0
us,2001,bestbuy,0,0,0
us,2001,verizon,0,1,0
us,2001,whirlpool,0,0,0
us,2001,chartercommunications,0,0,0
us,2001,autonation,0,0,0
us,2001,fedex,0,0,0
us,2001,goldmansachsgroup,0,1,0
us,2001,eogresources,0,0,0
us,2001,boeing,0,0,0
us,2001,lockheedmartin,0,0,1
us,2001,berkshirehathaway,0,0,0
us,2001,capitalonefinancial,0,0,0
us,2001,hp,0,0,0
us,2001,wellsfargo,0,0,1
us,2001,generalelectric,0,0,0
us,2001,intel,0,0,0
us,2001,sysco,0,1,0
us,2001,internationalpaper,0,0,0
us,2001,amazon.cominc.,0,0,0
us,2001,usbancorp,0,0,0
us,2001,unitedtechnologies,0,0,0
us,2001,appliedmaterials,0,0,0
us,2001,marriottinternational,0,1,0
us,2001,jabil,0,0,0
us,2001,fluor,0,0,0
us,2001,bankofamericacorp.,0,1,0
us,2001,walmart,0,0,0
us,2001,starbucks,0,0,0
us,2001,westerndigital,0,0,0
us,2001,chevron,0,0,0
us,2001,allstate,0,0,0
us,2001,waltdisney,0,0,0
us,2001,homedepot,0,0,0
us,2001,cvshealth,0,0,0
us,2001,carmax,0,0,0
us,2001,costco,0,0,0
us,2001,ibm,0,0,1
us,2001,pnc,0,0,0
us,2006,sysco,0,0,0
us,2006,boeing,0,0,0
us,2006,bristolmyerssquibb,0,0,0
us,2006,exxonmobil,0,0,0
us,2006,ciscosystems,0,0,0
us,2006,fedex,0,0,0
us,2006,costco,0,1,0
us,2006,jabil,0,0,0
us,2006,generalelectric,0,0,1
us,2006,archerdanielsmidland,0,0,0
us,2006,humana,0,0,0
us,2006,allstate,1,3,1
us,2006,johnson&johnson,0,0,0
us,2006,homedepot,0,0,0
us,2006,intel,0,0,0
us,2006,waltdisney,0,0,0
us,2006,targetcorp.,0,0,0
us,2006,bestbuy,0,0,0
us,2006,ibm,0,0,0
us,2006,hp,0,0,0
us,2006,danaher,1,0,0
us,2006,coca-cola,0,2,0
us,2006,unitedtechnologies,0,0,0
us,2006,internationalpaper,0,0,0
us,2006,whirlpool,0,0,0
us,2006,westerndigital,0,0,0
us,2006,autonation,0,0,0
us,2006,emerson electric,0,0,0
